text,segment,intent,speaker
"so your order is 3 small thin crust pizzas. one with extra cheese, hamburger, bacon and pepperoni. the other two will have onions, extra cheese, mushrooms and bell peppers. correct?",bell peppers,pizza_ordering.type.topping.accept,ASSISTANT
"small thin crust pizza, with black olives and pepperoni only but with extra cheese.",small thin crust,pizza_ordering.type.crust.accept,ASSISTANT
"ok, you are ordering 4 large thick crust pizzas, one pepperoni and sausage, one hawaiin, one veggie lovers, and one mushroom and onions, is that correct?",sausage,pizza_ordering.type.topping.accept,ASSISTANT
"Hello Mauro, how are you? Hey, can you do me the favor of asking me for a big family pizza with extra cheese, today I will have dinner with my family",with extra cheese,pizza_ordering.preference.accept,USER
"OK so we have one large pan pizza with pepperoni and black olives, one medium thin crust pizza with jalapeños and onions, and a family size order breadsticks.",family,pizza_ordering.size.pizza.accept,ASSISTANT
OK. That sounds good. We'll just buy our own kobe beef.,kobe beef,pizza_ordering.type.topping.accept,USER
"To confirm: you are ordering a large thin crust pizza with garlic, jalapenos, and meatballs.",meatballs,pizza_ordering.type.topping.accept,ASSISTANT
I want a chicken barbecue and a cheese pizza. And meat lovers.,chicken barbecue and a cheese pizza,pizza_ordering.name.pizza.accept,USER
"Alright, to repeat the order back to you, just to confirm that I got it correct, large pepperoni, sausage and chicken pizza; a large olives, spinach and extra cheese pizza; and a large pineapple, ham and bacon pizza.",pineapple,pizza_ordering.type.topping.accept,ASSISTANT
Ok i sent confirmation to your cell phone by text. It will be ready in 25 mins for pickup at the Richmond Rd Channellos.,Channellos,pizza_ordering.name.store.accept,ASSISTANT
"Just to confirm, you're going to order the whole pie with pepporoni and sausge?",pepporoni,pizza_ordering.type.topping.accept,USER
"4 medium pizzas, with thin crust. One meat lovers, one pepperoni and sausage, another pepperoni only and the last cheese only.",pepperoni,pizza_ordering.type.topping.accept,ASSISTANT
Your pizza order is now complete and will be ready for pick up in 25 minutes.,Your pizza order is now complete and will be ready for pick up in 25 minutes.,pizza_ordering.pizza_order.accept,ASSISTANT
"Pepperoni, Canadian bacon, spicy Italian sausage, onions, green peppers, mushrooms, and black olives.",black olives,pizza_ordering.type.topping.accept,USER
"Ok, so we are ordering you one large, thin crust pizza with mushrooms and sausage.",sausage,pizza_ordering.type.topping.accept,ASSISTANT
"They have olives, tomatoes and green peppers.",green peppers,pizza_ordering.type.topping.accept,ASSISTANT
Hello I would like to order some pizza from Pizza Hut.,Pizza Hut,pizza_ordering.name.store.accept,USER
"ok. you said 4 large thick crust pizzas, 1 pepperoni, 1 cheese, 1 veggie lovers, and 1 hawaiian.",thick crust,pizza_ordering.type.crust.accept,ASSISTANT
"4 large pizzas with pepperoni, mushrooms and gluten free crust, correct?",mushrooms,pizza_ordering.type.topping.accept,ASSISTANT
"Sure, you would like a medium custom pizza from the Doughroom with green bell peppers, onions, and jalapenos.",green bell peppers,pizza_ordering.type.topping.accept,ASSISTANT
"No, no extra cheese. Thank you.",extra cheese,pizza_ordering.preference.reject,USER
I would like mushrooms and sausage.,sausage.,pizza_ordering.type.topping.accept,USER
"no worries. i have you down for 3 medium pizzas, all with gluten free crust, 1 veggie lovers, 1 meat lovers, and 1 bbq chicken.",veggie lovers,pizza_ordering.name.pizza.accept,ASSISTANT
Hi. I'd like for you to place me an order for a large pizza from Papa Johns.,Papa Johns,pizza_ordering.name.store.accept,USER
"Sure. So 4 small pizzas, thick crust on both. 2 meat lovers and 2 sausage and onions. Is this correct?",sausage,pizza_ordering.type.topping.accept,ASSISTANT
"Ok, so it is a large original stuffed crust pizza with chicken and green peppers. Is that right?",chicken,pizza_ordering.type.topping.accept,ASSISTANT
"3 medium thin crust pizzas, all pineaplle and ham right?",medium,pizza_ordering.size.pizza.accept,ASSISTANT
"2 large pizzas, one garlic and onions with extra cheese and one ham and meatball pizza right?",garlic,pizza_ordering.type.topping.accept,ASSISTANT
Ok. I have you picking up a large peperoni and black olive pizza from Papa Johns on Normandy Blvd. at 7:00 p.m. tonight. Is this correct?,large,pizza_ordering.size.pizza.accept,ASSISTANT
I want a Pizza from Dominos,Dominos,pizza_ordering.name.store.accept,USER
"ok, you are ordering 2 medium pizzas with extra cheese, with pepperoni and mushroom, is that correct?",mushroom,pizza_ordering.type.topping.accept,ASSISTANT
I want them to put in jalapenos instead.,jalapenos,pizza_ordering.type.topping.accept,USER
Alright. So you said you wanted one large pizza with pepperoni and black olives as toppings?,large,pizza_ordering.size.pizza.accept,ASSISTANT
So I placed your order for a large pizza with peperoni and bacon at Papa Johns in Sidney Oh.,Sidney Oh,pizza_ordering.location.store.accept,ASSISTANT
"Ok so you have 1 large Gino's Supreme with extra olives, and one large Diavola and one bottle of Prosecco Sparkling wine.",Diavola,pizza_ordering.name.pizza.accept,ASSISTANT
"This pizza is pretty complete . Half margherita with kalamata olives and half calzone with ricotta, mozzarella, crumbled wood-fired sausage, and roasted peppers , it has all I need .",crumbled wood-fired sausage,pizza_ordering.type.topping.accept,USER
"Okay, so a large buffalo chicken pizza with hand tossed crust and roasted garlic instead of onion. Is that correct?",large,pizza_ordering.size.pizza.accept,ASSISTANT
"I want two pizza di Parma, the bigger size.",pizza di Parma,pizza_ordering.name.pizza.accept,USER
"Okay, so make that a large with pepperoni and pineapple.",large,pizza_ordering.size.pizza.accept,USER
"One large bacon, sausage and pepperoni pizza correct?",pepperoni,pizza_ordering.type.topping.accept,ASSISTANT
"so your order is: 4 medium gluten free pizzas. one with chicken bacon ranch, the second is a hawaiian with extra ham, the third is with pepperoni and bacon, with extra cheese. the fourth will be a regular white pizza with focaccia cheese.",regular white pizza,pizza_ordering.name.pizza.accept,ASSISTANT
"to confirm, the order is for 3 medium pizzas, all with thick crust, 1 cheese pizza, 1 veggie lovers, and 1 with sausage.",cheese pizza,pizza_ordering.name.pizza.accept,ASSISTANT
"Okay, so one pepperoni pizza with green peppers and large size. Is this right?",large,pizza_ordering.size.pizza.accept,ASSISTANT
"So only the pizza, no sides, and no extra toppings other than the ones you listed?",no extra toppings,pizza_ordering.preference.accept,ASSISTANT
"Okay. So I have a large Tommy's special and a Large Depot pizza, as well as a cheese ring a ring of fire, a two liter of coke and a two liter of rootbeer. Finally a pint of Butter Pecan.",Depot pizza,pizza_ordering.name.pizza.accept,ASSISTANT
"Your order has been placed for a large thin crust pizza, with salami, pepperoni, onions and mushrooms",salami,pizza_ordering.type.topping.accept,ASSISTANT
I'm going to place an order at Bella Luna.,Bella Luna,pizza_ordering.name.store.accept,USER
OK. Let me repeat your order. 3 large cheese pizza with cheese stuffed crust and cheese topping. 1 large pizza half pepperoni and half spinach.,large,pizza_ordering.size.pizza.accept,ASSISTANT
okay so that's 4 small pizzas all meatlovers with extra cheese right?,meatlovers,pizza_ordering.name.pizza.accept,ASSISTANT
Go ahead and get me a large pizza.,large,pizza_ordering.size.pizza.accept,USER
"Brooklyn's Pizza on Mariposa Road, please.","Mariposa Road,",pizza_ordering.location.store.accept,USER
i'll et you a small sauusage extra cheese and peppers from pizza pizza pizza,pizza pizza pizza,pizza_ordering.name.store.accept,ASSISTANT
"Yes, that's one large pizza with half pineapple and sausage and half black olives, mushrooms, and sausage.",large,pizza_ordering.size.pizza.accept,ASSISTANT
The closest one is on Main Street. Is that okay?,Main Street.,pizza_ordering.location.store.accept,ASSISTANT
"Medium, please.",Medium,pizza_ordering.size.pizza.accept,USER
"ok, you are ordering 3 large pizzas, 1 pepperoni, 1 sausage and red onions, 1 veggie lovers, is that correct?",red onions,pizza_ordering.type.topping.accept,ASSISTANT
"Absolutely. So just to be sure, that's 1 large pizza with pepperoni and jalapeno on one side, and on the other side spinach and mushroom. One large with pepperoni and banana pepper, and a 2 liter of Pepsi.",spinach,pizza_ordering.type.topping.accept,ASSISTANT
"Your welcome, the order is complete and ready for pickup in 25 minutes. Thank you, now would you like for me to go pick it up for you? ","Your welcome, the order is complete",pizza_ordering.pizza_order.accept,ASSISTANT
I am getting a message that there is no pepperoni. What would like instead?,pepperoni,pizza_ordering.type.topping.reject,ASSISTANT
maybe a slice white pizza,slice white pizza,pizza_ordering.name.pizza.accept,ASSISTANT
Would you like the BBQ sauce on it?,BBQ sauce,pizza_ordering.preference.accept,ASSISTANT
From Bella Luna?,Bella Luna,pizza_ordering.name.store.accept,USER
Great. Your receipt has been texted to your phone.,Your receipt has been texted to your phone.,pizza_ordering.pizza_order.accept,ASSISTANT
Your pizza order is complete and will be available in 25 minutes. A copy of your receipt has been sent via text to your phone.,Your pizza order is complete and will be available in 25 minutes.,pizza_ordering.pizza_order.accept,ASSISTANT
"i have 3 medium pizzas, with thin crust and anchovy topping on all three as well as extra cheese. Is this correct?",medium,pizza_ordering.size.pizza.accept,ASSISTANT
Your order is complete and will be ready for pickup in 15 minutes. A copy of your receipt has been sent to your mobile phone.,Your order is complete,pizza_ordering.pizza_order.accept,ASSISTANT
"So you want a large sausage, pepperoni, and pineapple pizza?","sausage, pepperoni, and pineapple pizza",pizza_ordering.name.pizza.accept,ASSISTANT
You have one meatball and sausage pizza and one pepperoni and green pepper pizza. What time would you like the order placed?,one pepperoni and green pepper pizza,pizza_ordering.name.pizza.accept,ASSISTANT
"That's one large onion, mushroom and ham pizza on a pan crust. Is that correct?",onion,pizza_ordering.type.topping.accept,ASSISTANT
Can I get three large Veggie Lovers.,Veggie Lovers,pizza_ordering.type.crust.accept,USER
"3 medium pizzas, 1 olives and chicken, 1 pepperoni and sausage, and 1 meat lovers.",pepperoni,pizza_ordering.type.topping.accept,ASSISTANT
"got it. the order for 4 small pizzas with thick crust, 2 meat lovers, 1 chicken, and 1 onions and chicken.",chicken,pizza_ordering.name.pizza.accept,ASSISTANT
"Then can I get the pizza order with the ultimate cheesy crust, instead of hand-tossed.",hand-tossed.,pizza_ordering.name.pizza.reject,USER
"You order is one pineapple bbq chicken pizza, with: pineapple, chicken, mozzerella, extra mozzerella andbbq sauce, is this correct?",chicken,pizza_ordering.type.topping.accept,ASSISTANT
"Hey, I need you to order me a pizza from Dominos",Dominos,pizza_ordering.name.store.accept,USER
"Just to confirm: 2 medium pizzas. one pepperoni and one chicken, both with extra sauce, thin crust on both.",chicken,pizza_ordering.type.topping.accept,ASSISTANT
"i checked the pizzeria and they are out on the broccoli, do you want another topping?",pizzeria,pizza_ordering.name.store.accept,ASSISTANT
so i'll put in your order for 4 medium meat lovers on thick crust.,meat lovers,pizza_ordering.name.pizza.accept,ASSISTANT
Your order will be ready at your local Bella Luna pizzeria for pick up shortly. Enjoy!,Bella Luna pizzeria,pizza_ordering.name.store.accept,ASSISTANT
"So you want 1 deep dish gluten free pizza with spinach, tomato, and feta cheese?",feta cheese,pizza_ordering.type.topping.accept,ASSISTANT
"so you said 4 small pizzas, 1 pepperoni, 1 greek lovers, 1 sausage and onion, 1 bbq chicken, all with thick crust.",sausage,pizza_ordering.type.topping.accept,ASSISTANT
"Okay, I placed an order for a large sized pizza, extra thick stuffed crust, and mushrooms and garlic.",I placed an order,pizza_ordering.pizza_order.accept,ASSISTANT
"so you want 4 medium pizzas with thin crust, all veggie lovers.",thin crust,pizza_ordering.type.crust.accept,ASSISTANT
Just the traditional marinara sauce on both halves please.,marinara sauce,pizza_ordering.preference.accept,USER
"so that's 3 small pizzas, a hawaiian with tommato and onion, one broccoli and garlic with extra cheese, and the last one has sausage, mushrooms, and pepperoni right?",tommato,pizza_ordering.type.topping.accept,ASSISTANT
ok you said 2 large total or 2 of each?,large,pizza_ordering.size.pizza.accept,ASSISTANT
Sorry. They don't have banana peppers.,banana peppers,pizza_ordering.type.topping.reject,ASSISTANT
Hi. I want to order pizzas in Bella Luna.,Bella Luna,pizza_ordering.name.store.accept,USER
I sent you all the relevant details like receipt so you can pick up your two large pizzas which are one spinach and one cheese pizza,spinach,pizza_ordering.name.pizza.accept,ASSISTANT
"Hi. i would like to order four pizzas from Bella Luna, please.",Bella Luna,pizza_ordering.name.store.accept,USER
"Okay, so now we have a large Outlaw pizza, we are subbing out for pineapples, add fresh tomatoes, add spinach, and extra Alfredo sauce on a thin crust, all the fixings, extra napkins.",add fresh tomatoes,pizza_ordering.type.topping.accept,ASSISTANT
"Yes, we have your information through the Domino's account.",Domino's,pizza_ordering.name.store.accept,ASSISTANT
"got it. so you want 4 small pizzas, all with thick crust, 1 chicken pizza, 1 pepperoni pizza, 1 spinach and feta pizza, and 1 with onions, ham, and bacon.",thick crust,pizza_ordering.type.crust.accept,ASSISTANT
The one with arugla topping and short rib beef.,short rib beef,pizza_ordering.type.topping.accept,USER
"So that's 4 large gluten free pizzas, one bbq chicken, one pineapple and anchovy, one canadian bacon and black olives and the last one is pepperoni, sausage and ground beef for a total of $88.43.",ground beef,pizza_ordering.type.topping.accept,ASSISTANT
"To summarize, you want a large thin crust pizza with mozarella cheese, onions, spinach, mushroom, bell peppers, and tomatoes.",onions,pizza_ordering.type.topping.accept,ASSISTANT
"One 17-inch with broccoli, sun-dried tomato and mushroom. And sides or appetizers?",sun-dried tomato,pizza_ordering.type.topping.accept,ASSISTANT
"4 large pizzas, all meat lovers with extra cheese.",meat lovers,pizza_ordering.name.pizza.accept,ASSISTANT
"ok. so you want 4 small pizzas with extra cheese, 1 meat lovers, 1 bbq chicken, 1 hawaiian with canadian bacon, and 1 with mushrooms, olives, and mozzarella cheese.",small,pizza_ordering.size.pizza.accept,ASSISTANT
"Okay, so it will be Italian sausage, pepperoni, bell pepper, black olive and ground beef. What else?",ground beef,pizza_ordering.type.topping.accept,ASSISTANT
"So that's two calzones. One is onion, broccoli, mozzarella, and extra ricotta. The other is sausage, pepperoni, ham, chicken, and ricotta. Both extra marinara on the side.",broccoli,pizza_ordering.type.topping.accept,ASSISTANT
"Okay, to review, you would like: one large pepperoni and sausage, a large combination pizza, deep dish, and breadsticks with marinara; is that correct?",combination pizza,pizza_ordering.name.pizza.accept,ASSISTANT
"One large pesto pizza with extra mozzarella cheese, and one large tomato sauce pizza with roasted garlic and broccoli. $31.03, plus tax.",pesto pizza,pizza_ordering.name.pizza.accept,ASSISTANT
"2 small pizzas, both with thick crust, 1 supreme with everything, and 1 veggie lovers.",veggie lovers,pizza_ordering.name.pizza.accept,ASSISTANT
One large pepperoni and ham pizza will be available for pick-up in 25 minutes from the Columbia City Pizza Hut.,Columbia City,pizza_ordering.location.store.accept,ASSISTANT
"That's a Zachary's Special with olives instead of mushrooms, pineapple added, and a wheat crust.",Zachary's Special,pizza_ordering.name.pizza.accept,ASSISTANT
"Well, call Charlies Pizza Hut. I want a meat lover's extra grande.",Charlies Pizza Hut,pizza_ordering.name.store.accept,USER
"1 pepperoni and sausage, 1 chicken with bacon and ranch, 1 pineapple and 1 supreme pizza.",bacon,pizza_ordering.type.topping.accept,ASSISTANT
Your order for a Large Mountain Mikes Pikes Peak pizza will be place at the Folsom location for pickup,Folsom,pizza_ordering.location.store.accept,ASSISTANT
So you want a large pepperoni pizza with olives and cheddar cheese. Is that correct?,pepperoni pizza,pizza_ordering.name.pizza.accept,ASSISTANT
"So just to verify again, that is a large pizza without cheese with garlic, onion, spinach, and red bell peppers?",garlic,pizza_ordering.type.topping.accept,ASSISTANT
"ok, you are ordering 3 large pizzas, 1 pepperoni, 1 sausage and red onions, 1 veggie lovers, is that correct?",large,pizza_ordering.size.pizza.accept,ASSISTANT
"Ok, so you want me to order you a large stuffed crust, pepperoni, mushroom and bell pepper pizza with extra pepperoni and a garlic butter crust?",extra pepperoni,pizza_ordering.preference.accept,ASSISTANT
"Yes to the Hawaiian pizza, but no onion. And four pizzas, please.",onion,pizza_ordering.preference.reject,USER
"ok perfect so regular crust, regular thickness with pepperoni and sausage and extra mozzarella cheese in size large, right?",large,pizza_ordering.size.pizza.accept,ASSISTANT
"ok, so you are ordering 4 small pizzas with gluten free crust, 2 pepperoni and mushroom and 2 bacon sausage, is that correct?",gluten free crust,pizza_ordering.type.crust.accept,ASSISTANT
I's 27.01 with tax. You may pick it up from pizza investigators in 25 minutes,pizza investigators,pizza_ordering.name.store.accept,ASSISTANT
"Ok, two large brick oven pizzas will be delivered to your home. One will be pepperoni, bacon and jalapenos. The other will be ham, sausage and bacon. The will be arriving in 35 minutes.",arge brick oven,pizza_ordering.preference.accept,ASSISTANT
Your order will be ready in 25 minutes. And the receipt will arrive by text to your phone.,Your order will be ready in 25 minutes,pizza_ordering.pizza_order.accept,ASSISTANT
I would like to order a pizza from Eno's in dallas.,dallas,pizza_ordering.location.store.accept,USER
"Excellent, I've got one large stuffed crust meat dream pizza with dinner on order from Giovannis, the total will be 13 dollars. Is this okay?",meat dream pizza,pizza_ordering.name.pizza.accept,ASSISTANT
only cheese pizzas.,cheese pizzas.,pizza_ordering.name.pizza.accept,ASSISTANT
Okay just to clarify that's one large supreme on thin crust.,thin crust,pizza_ordering.type.crust.accept,ASSISTANT
"No, just regular portions",regular portions,pizza_ordering.preference.accept,USER
Ok I have 1 large veggie deluxe thin crust forKate Bourdeux 937-222-5488.,thin,pizza_ordering.type.crust.accept,ASSISTANT
"2 small gluten free pizzas, 1 meat lovers pizza with extra sausage, 1 plain cheese pizza with pineapple.",extra sausage,pizza_ordering.type.topping.accept,ASSISTANT
"Got it! Let me repeat what I’ve got so you can verify it. You want a large pan pizza with double toppings of Sliced Sausage, Pepperoni, and Cheese and 2 Garlic Dipping Sauces. And half of the pizza will have very light sauce. Is that correct?",Pepperoni,pizza_ordering.type.topping.accept,ASSISTANT
Great. So you want one extra large salami and one extra large cheese pizza and a 2 liter of coke for carryout. Correct?,extra large,pizza_ordering.size.pizza.accept,ASSISTANT
"so to confirm, you want 2 small pizzas, 1 with mushroom bacon and pepperoni, and 1 meat lovers, both pizzas with extra cheese.",small,pizza_ordering.size.pizza.accept,ASSISTANT
"3 medium pizzas with thick crust, with the toppings chicken, pepperoni, jalapenos, and sausage.",medium,pizza_ordering.size.pizza.accept,ASSISTANT
"2 medium thin crust pizzas, both chicken bbq right?",chicken bbq,pizza_ordering.name.pizza.accept,ASSISTANT
"OK, one large deep dish Garden Vegetable with Ricotta Pizza, no mushrooms; add spinach.",mushrooms,pizza_ordering.type.topping.reject,ASSISTANT
It looks like The Lou isn't available right now because they're out of mushrooms. Do you want a different type of pizza?,The Lou,pizza_ordering.name.pizza.reject,ASSISTANT
"I am sorry, but we do not offer whole wheat crusts anymore. We have thin crust pizza if you are looking for another healthier option.",whole wheat crusts,pizza_ordering.type.crust.reject,ASSISTANT
Okay let me confirm that I'm ordering 3 large pizzas. The 1st one is thin crust with chicken and mushrooms. You want the mushrooms only on half the pizza. The 2nd pizza is hand tossed with pepperoni and onions. The 3rd pizza is hand tossed with pepperoni and sausage. We are using the coupon for large 2 topping pizzas only $12.99. Does that all sound right?,thin crust,pizza_ordering.type.crust.accept,ASSISTANT
1804 NW 16th St in Oklahoma City,1804 NW 16th St in Oklahoma City,pizza_ordering.location.store.accept,USER
"So I have 3 mediums with pepperoni, anchovie, bacon, pineapple, black olive, and onion.",pineapple,pizza_ordering.type.topping.accept,ASSISTANT
The number is 394-7235,394-7235,pizza_ordering.location.store.accept,ASSISTANT
"Ok great, so I have three large pizzas, one meat lovers, one double pepperoni and double bacon, and one with extra cheese, olives, mushrooms and green peppers for pickup?",bacon,pizza_ordering.type.topping.accept,ASSISTANT
"Sorry, it looks like Fat Jacks doesn't offer anchovies as a topping anymore",anchovies,pizza_ordering.type.topping.reject,ASSISTANT
Your order is complete and will be ready to pick up in about 25 minutes,Your order is complete,pizza_ordering.pizza_order.accept,ASSISTANT
"It says that there's, ""Lean sausage, some extra mozzarella cheese and vine-ripened tomato sauce on Buttercrust.""",Lean sausage,pizza_ordering.type.topping.accept,ASSISTANT
"The standard Pacific Veggie comes with onions, diced tomatoes, black olives, mushrooms, shredded provolone cheese, spinach, roasted red peppers and feta cheese. Do you want any of those to be removed?",roasted red peppers,pizza_ordering.type.topping.accept,ASSISTANT
Would you like me to pull up the Domino's menu?,Domino's,pizza_ordering.name.store.accept,ASSISTANT
I would like thin crust on all the pizzas.,thin crust,pizza_ordering.type.crust.accept,USER
"ok. You want 4 small pizzas all with thin crust, 1 veggie lovers, 1 meat lovers, 1 with Sundried tomatoes and feta, 1 with artichoke hearts and bell peppers.",artichoke hearts,pizza_ordering.type.topping.accept,ASSISTANT
"You have ordered a large pizza with roasted red pepper, onions and mushrooms. You will carry out your order. The charges will be placed on your saved credit card.",mushrooms,pizza_ordering.type.topping.accept,ASSISTANT
Let me restate your order. You would like a large pizza pie with pineapple and green peppers on the whole pie and one one half you would like pepperoni.,pepperoni,pizza_ordering.type.topping.accept,ASSISTANT
Okay. A 12 inch pepperoni pizza for pickup. Is that correct?,12 inch,pizza_ordering.size.pizza.accept,ASSISTANT
it looks like they're out of buffalo chicken did you have a second option?,buffalo chicken,pizza_ordering.type.topping.reject,ASSISTANT
your pizza are on order at the local Bella Luna pizzeria and will be ready for pickup in 30 min.,Bella Luna pizzeria,pizza_ordering.name.store.accept,ASSISTANT
"Just to confirm you would order will be to use our deal for one large specialty pizzas, a veggie delight, and then two ranch packets?",large,pizza_ordering.name.pizza.accept,ASSISTANT
"From Pizza Hut in Clarion, PA please.","Clarion, PA",pizza_ordering.location.store.accept,USER
"Yes, Rosati's sells Philly Cheesesteak pizzas?",Rosati's,pizza_ordering.name.store.accept,ASSISTANT
Let's take off the caramelized onions.,take off the caramelized,pizza_ordering.preference.accept,USER
"1 family sausage, 1 family size pepperoni, and 1 family size cheese pizza, from Beggars, is that correct?",sausage,pizza_ordering.name.pizza.accept,ASSISTANT
"Great! I've got 4 Large Pizzas with thin crust. 2 pizzas contain pepperoni and Anchovies, 2 others have Pepperoni and olives coming from Round Table. Does that sound right Boss?",olives,pizza_ordering.type.topping.accept,ASSISTANT
It's called Papa Geno's.,Papa Geno's,pizza_ordering.name.store.accept,ASSISTANT
Their Mexican specialty pizza looks really good. Maybe next time I'll try that.,Mexican specialty pizza,pizza_ordering.name.pizza.accept,ASSISTANT
I need you to order a pizza from Pizza Hut for me.,Pizza Hut,pizza_ordering.name.store.accept,USER
"Wonderful! Just to recap we are ordering a large, deep dish, pineapple and ham pizza. Correct?",large,pizza_ordering.size.pizza.accept,ASSISTANT
"Ok, just to confirm, you want two pizzas. Both medium sized, with traditional sauce. The first with meatballs and pineapples, with a pan crust and the second, also a medium, with thin crust and black olives and mushrooms.",pan crust,pizza_ordering.type.crust.accept,ASSISTANT
Sir let me confirm you order medium size pizza with mushroom and onion with extra cheese and you like it well baked,well baked,pizza_ordering.preference.accept,ASSISTANT
"So that's 2 mediums with extra cheese, one meat lovers and the other veggie lovers which totals out to $42.99.",meat lovers,pizza_ordering.name.pizza.accept,ASSISTANT
"Okay, confirming one large thin crust pizza with regular mozzarella, spicy sauce, mushrooms, garlic and spinach all over. Do not overcook it.",thin crust pizza,pizza_ordering.name.pizza.accept,ASSISTANT
"so that was 2 large pizzas with thin crusts, 1 with bacon, sausage, pepperoni, and mushrooms. 1 with green peppers and black olives.",pepperoni,pizza_ordering.type.topping.accept,ASSISTANT
"See if they can make half of it with pepperoni and the other half with just mushrooms, olives, and onions.",olives,pizza_ordering.type.topping.accept,USER
"Okay, I will do that. I'm very sorry, but the meat lovers option is not available today. Can I order a different pizza for you?",meat lovers,pizza_ordering.name.pizza.reject,ASSISTANT
"That's also with feta, mushrooms, spinach, and chopped garlic.",chopped garlic.,pizza_ordering.type.topping.accept,ASSISTANT
they only have green olives at the moment is that okay?,green olives,pizza_ordering.type.topping.accept,ASSISTANT
so 2 medium meatlovers with thick crust?,medium,pizza_ordering.size.pizza.accept,ASSISTANT
"Okay, then I've got a large, regular crust, Pepperoni and Italian Sausage, for pickup.",Pepperoni and Italian Sausage,pizza_ordering.name.pizza.accept,ASSISTANT
The way close to our workplace?,close to our workplace,pizza_ordering.location.store.accept,ASSISTANT
I need to order a pizza from Marco's.,Marco's,pizza_ordering.name.store.accept,USER
"Gotcha. So a medium pizza with chicken, bacon, onions, and the white sauce, correct?",white sauce,pizza_ordering.preference.accept,ASSISTANT
I would like one of them to be pan and the other one thin crust.,thin crust,pizza_ordering.type.crust.reject,USER
"3 medium gluten free pizzas, one taco pizza, medium spiciness, one veggie lovers, and one anchovy pizza.",medium,pizza_ordering.size.pizza.accept,ASSISTANT
looks like bella luna is sold out of bbq chicken today. would you like something else?,bbq chicken,pizza_ordering.type.topping.reject,ASSISTANT
"Just regular crust, please.",regular crust,pizza_ordering.type.crust.accept,USER
one moment while I send your order to Bella Luna.,Bella Luna.,pizza_ordering.name.store.accept,ASSISTANT
"Alright i got 2 small pizzas, one with sausage and black olives and the 2nd one a Tuscan lover, both with gluten free crust.",small,pizza_ordering.size.pizza.accept,ASSISTANT
